Invoice Date,AC,AD,AJ,AO,BG,BM,BO,BQ,CD,CQ,PJ,VC
2018-07-31,198.0,14.0,4.0,138.0,,9.0,16.0,146.0,104.0,15.0,3.0,
2018-08-01,341.0,20.0,10.0,288.0,,14.0,14.0,129.0,393.0,45.0,3.0,
2018-08-02,152.0,16.0,7.0,144.0,,3.0,11.0,112.0,211.0,18.0,1.0,
2018-08-03,310.0,31.0,11.0,239.0,,4.0,25.0,106.0,543.0,33.0,7.0,
2018-08-06,455.0,22.0,8.0,319.0,,9.0,11.0,124.0,313.0,47.0,3.0,
2018-08-07,305.0,16.0,8.0,270.0,,6.0,26.0,127.0,282.0,21.0,1.0,
2018-08-08,218.0,18.0,1.0,199.0,,9.0,17.0,129.0,281.0,22.0,1.0,
2018-08-09,320.0,20.0,5.0,203.0,,8.0,4.0,136.0,634.0,18.0,1.0,
2018-08-10,430.0,33.0,11.0,323.0,,8.0,31.0,108.0,544.0,22.0,4.0,
2018-08-13,206.0,6.0,4.0,141.0,,3.0,19.0,98.0,446.0,38.0,,
2018-08-14,213.0,16.0,2.0,180.0,,8.0,12.0,100.0,204.0,30.0,2.0,
2018-08-15,349.0,11.0,6.0,238.0,,8.0,13.0,228.0,319.0,23.0,6.0,
2018-08-16,257.0,20.0,6.0,172.0,,12.0,18.0,137.0,184.0,20.0,7.0,
2018-08-17,291.0,13.0,5.0,212.0,,6.0,20.0,88.0,351.0,23.0,3.0,
2018-08-20,241.0,16.0,11.0,141.0,,9.0,7.0,108.0,453.0,30.0,6.0,
2018-08-21,290.0,15.0,6.0,214.0,,3.0,14.0,102.0,240.0,23.0,4.0,
2018-08-22,751.0,27.0,6.0,492.0,,10.0,18.0,170.0,564.0,51.0,4.0,
2018-08-23,479.0,17.0,2.0,373.0,,10.0,18.0,117.0,511.0,45.0,4.0,
2018-08-24,628.0,24.0,3.0,519.0,,4.0,10.0,65.0,762.0,57.0,,
2018-08-27,236.0,9.0,13.0,216.0,,7.0,23.0,99.0,225.0,16.0,5.0,
2018-08-28,158.0,16.0,2.0,117.0,,7.0,17.0,110.0,223.0,30.0,4.0,
2018-08-29,174.0,16.0,4.0,156.0,,8.0,23.0,108.0,146.0,16.0,6.0,
2018-08-30,182.0,13.0,,143.0,,8.0,21.0,103.0,130.0,13.0,2.0,
2018-08-31,224.0,12.0,3.0,201.0,,12.0,6.0,99.0,136.0,14.0,1.0,
2018-09-01,24.0,,1.0,4.0,,1.0,1.0,14.0,119.0,12.0,2.0,
2018-09-03,275.0,15.0,7.0,205.0,,8.0,16.0,104.0,330.0,38.0,3.0,
2018-09-04,273.0,20.0,13.0,203.0,,11.0,23.0,162.0,343.0,42.0,6.0,
2018-09-05,394.0,26.0,17.0,219.0,,8.0,35.0,160.0,566.0,56.0,,
2018-09-06,265.0,18.0,5.0,189.0,,6.0,28.0,158.0,334.0,21.0,2.0,
2018-09-07,442.0,13.0,3.0,298.0,,12.0,23.0,197.0,242.0,17.0,,1.0
2018-09-10,303.0,16.0,4.0,190.0,,5.0,10.0,160.0,225.0,29.0,,
2018-09-11,244.0,23.0,7.0,162.0,,9.0,19.0,146.0,272.0,14.0,3.0,
2018-09-12,258.0,10.0,6.0,198.0,,13.0,21.0,153.0,658.0,38.0,,
2018-09-13,619.0,58.0,12.0,485.0,,6.0,21.0,205.0,561.0,42.0,7.0,
2018-09-14,429.0,23.0,11.0,320.0,,6.0,15.0,145.0,290.0,26.0,1.0,
2018-09-17,431.0,24.0,5.0,328.0,,12.0,26.0,176.0,455.0,32.0,1.0,
2018-09-18,319.0,16.0,4.0,245.0,,15.0,33.0,183.0,333.0,29.0,6.0,
2018-09-19,447.0,13.0,14.0,298.0,,7.0,23.0,174.0,597.0,51.0,1.0,
2018-09-20,434.0,26.0,6.0,252.0,,11.0,29.0,178.0,362.0,35.0,6.0,
2018-09-21,375.0,32.0,8.0,292.0,,6.0,19.0,176.0,469.0,47.0,4.0,
2018-09-24,737.0,27.0,18.0,482.0,,9.0,32.0,237.0,1887.0,126.0,,
2018-09-25,417.0,17.0,9.0,266.0,,15.0,38.0,196.0,707.0,69.0,4.0,
2018-09-26,267.0,12.0,5.0,187.0,,10.0,15.0,116.0,303.0,23.0,4.0,
2018-09-27,427.0,20.0,3.0,273.0,,6.0,28.0,117.0,206.0,24.0,1.0,
2018-09-28,251.0,8.0,2.0,180.0,,9.0,19.0,88.0,203.0,17.0,1.0,
2018-10-01,247.0,18.0,9.0,193.0,,15.0,25.0,138.0,414.0,46.0,3.0,
2018-10-02,440.0,24.0,7.0,347.0,,15.0,19.0,187.0,387.0,34.0,6.0,
2018-10-03,65.0,9.0,2.0,58.0,,,4.0,7.0,131.0,10.0,1.0,
2018-10-04,262.0,18.0,14.0,161.0,,15.0,24.0,129.0,307.0,35.0,9.0,
2018-10-05,378.0,24.0,14.0,263.0,,8.0,33.0,153.0,598.0,35.0,6.0,
2018-10-06,1.0,,,,,,2.0,,3.0,1.0,,
2018-10-08,427.0,26.0,7.0,300.0,,5.0,21.0,127.0,468.0,42.0,1.0,
2018-10-09,367.0,29.0,8.0,267.0,,12.0,13.0,177.0,340.0,50.0,6.0,
2018-10-10,587.0,37.0,5.0,475.0,,16.0,15.0,137.0,382.0,28.0,6.0,
2018-10-11,274.0,20.0,3.0,197.0,,9.0,13.0,67.0,282.0,38.0,2.0,
2018-10-12,449.0,19.0,11.0,337.0,,5.0,11.0,233.0,336.0,23.0,2.0,
2018-10-15,375.0,31.0,7.0,273.0,,8.0,22.0,114.0,587.0,45.0,3.0,
2018-10-16,234.0,27.0,5.0,201.0,,17.0,23.0,150.0,361.0,25.0,1.0,
2018-10-17,275.0,28.0,9.0,197.0,,12.0,35.0,161.0,469.0,23.0,5.0,
2018-10-18,529.0,28.0,8.0,394.0,,13.0,31.0,181.0,806.0,74.0,,
2018-10-19,406.0,15.0,7.0,248.0,,11.0,21.0,119.0,759.0,61.0,9.0,
2018-10-22,500.0,26.0,17.0,334.0,,17.0,33.0,205.0,985.0,69.0,6.0,
2018-10-23,402.0,22.0,10.0,339.0,,14.0,10.0,134.0,556.0,56.0,5.0,
2018-10-24,425.0,27.0,8.0,316.0,,9.0,11.0,146.0,873.0,44.0,7.0,
2018-10-25,549.0,15.0,29.0,300.0,,7.0,65.0,184.0,953.0,91.0,6.0,
2018-10-26,279.0,24.0,2.0,214.0,,9.0,18.0,107.0,242.0,29.0,7.0,
2018-10-29,179.0,16.0,6.0,118.0,,4.0,14.0,112.0,206.0,17.0,3.0,
2018-10-30,166.0,19.0,3.0,137.0,,5.0,22.0,110.0,190.0,20.0,,
2018-10-31,188.0,17.0,4.0,150.0,,7.0,5.0,100.0,198.0,15.0,,
2018-11-01,314.0,14.0,6.0,239.0,,8.0,13.0,166.0,310.0,33.0,4.0,
2018-11-02,304.0,21.0,5.0,230.0,,13.0,38.0,110.0,310.0,34.0,1.0,
2018-11-05,311.0,18.0,13.0,240.0,,6.0,34.0,158.0,450.0,43.0,13.0,
2018-11-06,235.0,14.0,8.0,198.0,,6.0,14.0,101.0,456.0,36.0,5.0,
2018-11-07,307.0,17.0,7.0,228.0,,6.0,33.0,103.0,418.0,43.0,6.0,
2018-11-08,192.0,17.0,6.0,136.0,,5.0,14.0,78.0,306.0,33.0,1.0,
2018-11-09,416.0,23.0,10.0,304.0,,12.0,25.0,125.0,456.0,40.0,3.0,
2018-11-12,177.0,16.0,8.0,135.0,,16.0,11.0,121.0,410.0,44.0,2.0,
2018-11-13,298.0,16.0,13.0,244.0,,6.0,19.0,122.0,513.0,60.0,17.0,
2018-11-14,312.0,22.0,8.0,239.0,,9.0,27.0,102.0,482.0,58.0,12.0,
2018-11-15,229.0,23.0,6.0,167.0,,7.0,31.0,108.0,694.0,42.0,4.0,
2018-11-16,514.0,24.0,12.0,335.0,,8.0,27.0,142.0,1117.0,52.0,7.0,
2018-11-19,402.0,28.0,12.0,260.0,,18.0,25.0,97.0,798.0,58.0,2.0,
2018-11-20,352.0,19.0,13.0,261.0,,14.0,15.0,155.0,515.0,46.0,,
2018-11-21,619.0,25.0,9.0,454.0,,13.0,17.0,113.0,467.0,43.0,2.0,
2018-11-22,373.0,21.0,13.0,329.0,,6.0,28.0,127.0,541.0,52.0,9.0,
2018-11-23,381.0,16.0,22.0,235.0,,11.0,30.0,152.0,1475.0,112.0,4.0,
2018-11-26,336.0,20.0,10.0,230.0,,9.0,14.0,83.0,365.0,36.0,5.0,
2018-11-27,239.0,17.0,1.0,207.0,,7.0,21.0,95.0,433.0,67.0,6.0,
2018-11-28,135.0,12.0,5.0,118.0,,10.0,19.0,125.0,248.0,25.0,4.0,
2018-11-29,157.0,19.0,6.0,116.0,,9.0,20.0,49.0,244.0,28.0,4.0,
2018-11-30,119.0,14.0,2.0,104.0,,8.0,23.0,112.0,209.0,22.0,9.0,
2018-12-01,18.0,,2.0,4.0,,,1.0,2.0,239.0,8.0,1.0,
2018-12-03,322.0,18.0,12.0,228.0,,12.0,42.0,128.0,465.0,27.0,7.0,
2018-12-04,295.0,11.0,11.0,244.0,,4.0,19.0,157.0,455.0,28.0,3.0,
2018-12-05,213.0,16.0,6.0,166.0,,9.0,21.0,76.0,310.0,23.0,4.0,
2018-12-06,382.0,28.0,4.0,249.0,,10.0,34.0,140.0,305.0,32.0,5.0,
2018-12-07,297.0,16.0,9.0,237.0,,11.0,7.0,97.0,410.0,32.0,7.0,
2018-12-10,340.0,24.0,10.0,184.0,,16.0,29.0,122.0,411.0,51.0,,
2018-12-11,317.0,20.0,9.0,217.0,,10.0,32.0,87.0,454.0,32.0,1.0,
2018-12-12,208.0,18.0,6.0,149.0,,8.0,12.0,106.0,289.0,20.0,1.0,
2018-12-13,309.0,12.0,14.0,207.0,,5.0,16.0,92.0,732.0,62.0,3.0,
2018-12-14,587.0,27.0,10.0,456.0,,5.0,15.0,165.0,613.0,40.0,6.0,
2018-12-17,410.0,16.0,7.0,284.0,,15.0,49.0,103.0,499.0,50.0,14.0,
2018-12-18,550.0,18.0,13.0,422.0,,13.0,19.0,162.0,618.0,54.0,6.0,
2018-12-19,637.0,28.0,23.0,370.0,,16.0,39.0,135.0,1508.0,102.0,3.0,
2018-12-20,248.0,17.0,2.0,170.0,,8.0,13.0,87.0,267.0,23.0,1.0,
2018-12-21,213.0,19.0,5.0,138.0,,7.0,21.0,92.0,380.0,44.0,2.0,
2018-12-24,107.0,2.0,2.0,90.0,,,,9.0,73.0,6.0,,
2018-12-25,,,,,,,,,4.0,,,
2018-12-26,13.0,2.0,,12.0,,,1.0,1.0,18.0,3.0,,
2018-12-27,110.0,15.0,4.0,107.0,,6.0,33.0,91.0,128.0,7.0,6.0,
2018-12-28,92.0,8.0,,79.0,,2.0,13.0,112.0,65.0,9.0,1.0,
2018-12-31,14.0,1.0,,13.0,,1.0,,,,,,
2019-01-01,10.0,,2.0,2.0,,,1.0,2.0,116.0,2.0,,
2019-01-02,143.0,6.0,8.0,115.0,,8.0,25.0,80.0,209.0,17.0,3.0,
2019-01-03,231.0,17.0,13.0,134.0,,5.0,12.0,57.0,403.0,39.0,2.0,
2019-01-04,212.0,15.0,9.0,179.0,,6.0,17.0,77.0,301.0,22.0,3.0,
2019-01-07,317.0,15.0,7.0,269.0,,11.0,30.0,138.0,519.0,35.0,13.0,
2019-01-08,193.0,14.0,9.0,153.0,,8.0,11.0,68.0,284.0,25.0,5.0,
2019-01-09,277.0,19.0,2.0,228.0,,13.0,17.0,70.0,350.0,25.0,2.0,
2019-01-10,327.0,13.0,8.0,241.0,,7.0,23.0,123.0,546.0,41.0,2.0,
2019-01-11,359.0,8.0,13.0,251.0,,14.0,51.0,121.0,547.0,42.0,4.0,
2019-01-14,244.0,16.0,11.0,200.0,,10.0,20.0,78.0,458.0,35.0,2.0,
2019-01-15,219.0,15.0,9.0,141.0,,10.0,22.0,97.0,578.0,29.0,5.0,
2019-01-16,368.0,22.0,5.0,258.0,,18.0,38.0,147.0,385.0,31.0,3.0,
2019-01-17,275.0,30.0,16.0,210.0,,10.0,21.0,109.0,356.0,34.0,5.0,
2019-01-18,327.0,14.0,9.0,224.0,,25.0,29.0,155.0,649.0,37.0,4.0,
2019-01-21,565.0,14.0,19.0,350.0,,13.0,41.0,191.0,1389.0,52.0,7.0,
2019-01-22,377.0,30.0,32.0,245.0,,15.0,38.0,127.0,911.0,78.0,7.0,
2019-01-23,295.0,14.0,17.0,201.0,,17.0,13.0,106.0,628.0,83.0,7.0,
2019-01-24,381.0,20.0,15.0,315.0,,10.0,31.0,61.0,691.0,47.0,5.0,
2019-01-25,547.0,18.0,29.0,360.0,,17.0,26.0,199.0,1012.0,81.0,2.0,
